央视频道,#genre#
CCTV-1 综合,http://120.238.94.10:9901/tsfile/live/1018_1.m3u8#http://59.39.89.130:60901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0#http://112.99.193.34:9901/tsfile/live/1017_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0#http://61.136.172.236:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0#http://221.226.51.220:50081/newlive/live/hls/1/live.m3u8#http://124.116.183.146:9901/tsfile/live/0001_1.m3u8#http://222.169.85.8:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0#
CCTV-2 财经,http://120.238.94.10:9901/tsfile/live/1019_1.m3u8#https://piccpndali.v.myalicdn.com/audio/cctv2_2.m3u8#http://218.13.170.98:9901/tsfile/live/0002_1.m3u8#http://61.136.172.236:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://221.226.51.220:50081/newlive/live/hls/2/live.m3u8#http://222.169.85.8:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://113.57.93.165:9900/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#
CCTV-3 综艺,http://120.238.94.10:9901/tsfile/live/1020_1.m3u8#https://player.cntv.cn/standard/live_HLSDRM20180524.swf?tai=cctv3&ChannelID=cctv3&videoTVChannel=cctv3&P2PChannelID=pd://cctv_p2p_cctv3#http://183.237.95.108:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=0&authid=0#http://59.39.89.130:60901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0#http://61.136.172.236:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0#http://124.116.183.146:9901/tsfile/live/0003_1.m3u8#http://222.169.85.8:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0#
CCTV-4 中文国际,http://120.238.94.10:9901/tsfile/live/1021_1.m3u8#https://player.cntv.cn/standard/live_HLSDRM20180524.swf?tai=cctveurope&ChannelID=cctveurope&videoTVChannel=cctveurope&P2PChannelID=pd://cctv_p2p_cctveurope#http://player.cntv.cn/standard/live_HLSDRM20180524.swf?v=180.171.5.8.9.6.3.9&ChannelID=cctveurope&videoTVChannel=cctveurope&P2PChannelID=pd://cctv_p2p_cctveurope&tai=cctv1&VideoName=cctv1&channelID=cctveurope#https://piccpndali.v.myalicdn.com/audio/cctvamerica_2.m3u8#http://b.mtw.so/5O5BCk#http://112.99.193.34:9901/tsfile/live/1036_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0#http://221.226.51.220:50081/newlive/live/hls/4/live.m3u8#
CCTV-5 体育,http://120.238.94.10:9901/tsfile/live/1022_1.m3u8#http://120.198.101.106:9901/tsfile/live/1030_1.m3u8#http://218.15.183.23:9901/tsfile/live/23022_1.m3u8#http://112.99.193.34:9901/tsfile/live/1022_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0#http://61.136.172.236:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0#http://124.116.183.146:9901/tsfile/live/0005_1.m3u8#http://222.169.85.8:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0#
CCTV-6 电影,http://183.237.95.108:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=0&authid=0#http://59.39.89.130:60901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0#http://61.136.172.236:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0#http://221.226.51.220:50081/newlive/live/hls/6/live.m3u8#http://zzssw01.55555.io:9901/tsfile/live/0006_1.m3u8#http://124.116.183.146:9901/tsfile/live/0006_1.m3u8#http://222.169.85.8:9901/tsfile/live/0006_1.m3u8?key=txiptv#
CCTV-7 国防军事,http://120.238.94.10:9901/tsfile/live/1025_1.m3u8#https://piccpndali.v.myalicdn.com/audio/cctv7_2.m3u8#http://b.mtw.so/6pCqft#http://183.11.239.36:808/hls/25/index.m3u8#http://124.116.183.146:9901/tsfile/live/0007_1.m3u8#http://42.225.117.174:11199/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0#http://123.129.70.178:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0#
CCTV-8 电视剧,http://120.238.94.10:9901/tsfile/live/1026_1.m3u8#https://player.cntv.cn/standard/live_HLSDRM20180524.swf?tai=cctv8&ChannelID=cctv8&videoTVChannel=cctv8&P2PChannelID=pd://cctv_p2p_cctv8#http://183.237.95.108:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=0&authid=0#http://61.136.172.236:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0#http://zzssw01.55555.io:9901/tsfile/live/0008_1.m3u8#http://124.116.183.146:9901/tsfile/live/0008_1.m3u8#http://222.169.85.8:9901/tsfile/live/0008_1.m3u8#
CCTV-9 纪录,http://120.238.94.10:9901/tsfile/live/1027_1.m3u8#http://t.live.cntv.cn/m3u8/cctv400.m3u8#http://player.cntv.cn/standard/live_HLSDRM20180606.swf?v=180.171.5.8.9.6.3.9&vdnSID=&vdnIP=&vdnCountryCode=&vdnProvinceCode=&vdnCityCode=&vdnISPCode=&tai=cctvjilu&ChannelID=cctvjilu&videoTVChannel=cctvjilu&P2PChannelID=pd://cctv_p2p_cctvjilu#https://piccpndali.v.myalicdn.com/audio/cctv9_2.m3u8#http://61.136.172.236:9901/tsfile/live/0009_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0#http://zzssw01.55555.io:9901/tsfile/live/0009_1.m3u8#http://124.116.183.146:9901/tsfile/live/0009_1.m3u8?key=tvbox6_com&playlive=1&authid=0#
CCTV-10 科教,http://120.238.94.10:9901/tsfile/live/1028_1.m3u8#http://player.cntv.cn/standard/live_HLSDRM20180919.swf?v=180.171.5.8.9.6.3.9&ChannelID=cctv10&videoTVChannel=cctv10&P2PChannelID=pd://cctv_p2p_cctv10&tai=cctv10&VideoName=cctv10&channelID=cctv10#http://183.237.95.108:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=0&authid=0#http://183.223.157.123:85/tsfile/live/0010_1.m3u8?key=txiptv#http://59.39.89.130:60901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0#http://124.116.183.146:9901/tsfile/live/0010_1.m3u8#http://222.169.85.8:9901/tsfile/live/0010_1.m3u8#
